categoria,bloque,codigo,descripcion,precio,hay_stock,stock_texto,specs
windows,MSI Gamer,2560x1600,"Processor: 1.8GHz Intel Core Ultra 9 Series 2 290HX Plus Twenty-Four-Core, Memory: 32GB DDR5-6000 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED (2560x1600) 240Hz, 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4, Per-key RGB",RAIDER16MXHXB3,NO,,"Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7 Windows 11 Home x 64 bits, preinstalado Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,VECTOR16HXA2420,"MSI Vector 16 HX AI (VECTOR16HXA2420) 16"" QHD+ GAMING LAPTOP COSMO GRAY",USD 3.600,SI,STK,
windows,MSI Gamer,2.1GHz - 5.4GHz,"Processor: Intel Core Ultra 9 275HX (2.1GHz - 5.4GHz) , Memory: 32GB LPDDR5 5600 megahertz RAM, Storage: 1TB PCIe® Gen 4 Solid State Drive, Display: 16"" QHD+ WVA 240Hz Display, 2.5GbE LAN, Killer WiFi 7 BE1750, Bluetooth 5.4",A2XWIG-420US,NO,,"Video Card: NVIDIA GeForce RTX 5080 16GB GDDR7 Windows 11 Home x 64 bits, preinstalado Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,B2WJ-002US,"MSI RAIDER 16 Max HX (B2WJ-002US) 16"" OLED GAMING LAPTOP 240Hz CORE BLACK",USD 4.500,SI,STK,
windows,MSI Gamer,2560x1600,"Processor: 1.8GHz Intel Core Ultra 9 Series 2 290HX Plus Twenty-Four-Core, Memory: 32GB DDR5-5600 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED (2560x1600) 240Hz, 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4, Per-key RGB",RAIDER16MXHXB20,NO,,"Video Card: NVIDIA GeForce RTX 5090 24GB GDDR7 Windows 11 PRO x 64 bits, preinstalado Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,18A2XWIG-420US,"MSI Raider 18 HX 18"" (18A2XWIG-420US) QHD+ GAMING LAPTOP 240Hz BLACK",USD 3.700,SI,STK,"Processor: base 2.1 GHz Intel® Core™ Ultra 9 285HX up 5,5 GHz (24 Cores), Memory: 32GB DDR5-5600 megahertz RAM, Storage: 1TB PCIe® Gen 4 Solid State Drive, Display: 18"" QHD+ (2560 x 1600) 240Hz 100% DCI-P3 IPS-Level Display, Killer Wi-Fi 7 BE1750 & Bluetooth 5.4 Video Card: NVIDIA® GeForce RTX™ 5080 Laptop GPU (16GB GDDR7) Windows 11 Home x 64 bits, preinstalado Peso 3,60Kg, Integrated IR FHD Webcam with Privacy Shutter"
windows,DELL All in One,DEC24260-7157WHT,"DELL (DEC24260-7157WHT) 23.8"" FULLHD TOUCHSCREEN ALL IN ONE WHITE",USD 1.950,SI,STK,"Processor: Intel® Core Ultra 7 processor 355, Memory: 16GB DDR5 5600 MT/s RAM, Storage: 1TB M2 PCIe NVMe SSD, Video Card: Integrated Intel® Graphics, Display: 23.8"" FHD Touchscreen (60 to 75 Hz), WVA, Anti-Glare, 300 nit, 99% sRGB, Pen Support, 10/100/1000 Mbps RJ-45 Ethernet, Intel® Wi-Fi 7, BE213 802.11be, Bluetooth® 6.0 wireless card Windows 11 Home x64 bits, preinstalado. Dell Pro 5 Keyboard and Mouse - KM526 - US English - Light Ash"
windows,DELL All in One,DEC27260-7201WHT,"DELL (DEC27260-7201WHT) 27"" FULLHD IPS TOUCHSCREEN ALL IN ONE WHITE",USD 2.500,SI,STK,"Processor: Intel® Core Ultra 7 processor 355 (Series 3), Memory: 32GB, 1x32GB, DDR5, 5600 MT/s RAM; Storage: 1TB PCIe® NVMe™ M.2 Solid State Drive, Video card: Integrated Intel® Graphics, Display: 27"" Touch, FHD 1920x1080 (60 to 100 Hz), WVA, TrueLife, 250 nit, 99% sRGB, Pen Support, 10/100/1000 Mbps RJ-45 Ethernet, Intel® Wi-Fi 7, BE213 (2x2), 802.11be, Bluetooth® 6.0 wireless card Windows 11 Home x64 bits, preinstalado. Dell Pro 5 Keyboard and Mouse - KM526 - US English - Light Ash"
windows,HP All in One,27-cw0054,"HP OmniStudio X (27-cw0054) 27"" FULL HD TOUCHSCREEN ALL IN ONE JET BLACK",USD 2.300,SI,STK,"Processor: 4.6 gigahertz AMD Ryzen 7 4000 Series 445 (6-core), Memory: 16GB LPDDR5x 5600 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 Solid State Drive, Video Card: AMD Radeon 840M, Display: 27"" FHD (1920 x 1080), touch, IPS, three-sided micro-edge, anti-glare, 300 nits, 10/100/1000/2500 GbE NIC, Wi-Fi 7 (2x2) and Bluetooth 6.0 wireless card Windows 11 Home x64 bits, preinstalado. 5 MP IR camera with temporal noise reduction, Integrated dual array digital microphones, HP 275C USB black wireless keyboard and mouse combo"
windows,HP All in One,27-cy0127c,"HP OmniStudio X (27-cy0127c) D2QL7AA#ABA 27"" FULL HD TOUCHSCREEN ALL IN ONE WHITE",USD 1.850,SI,STK,"Processor: Intel® Core™ Ultra 5 325 (up to 4.5 GHz with Intel® Turbo boost Technology (8 cores), Memory: 16GB DDR5-5600 MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 27"" diagonal, FHD (1920 x 1080), touch, 75 Hz, WLED, IPS, anti-glare, Low Blue Light, 350 nits display, Realtek RTL8111HSH-CG GbE NIC, Wi-Fi 7 (2x2) + Bluetooth® 6.0 wireless card Windows 11 Home x64 bits, preinstalado. HP 1080p FHD IR camera with HDR auto switch and temporal noise reduction, HP 275C USB White Wireless Keyboard and Mouse Combo"
